"abbr" "name" "name2"
"1" "BN" "Benesov" "benesov"
"2" "BE" "Beroun" "beroun"
"3" "BK" "Blansko" "blansko"
"4" "BV" "Breclav" "breclav"
"5" "BM" "Brno-mesto" "brno_mesto"
"6" "BI" "Brno-venkov" "brno_venkov"
"7" "BR" "Bruntal" "bruntal"
"8" "CL" "Ceska Lipa" "ceska_lipa"
"9" "CB" "Ceske Budejovice" "ceske_budejovice"
"10" "CK" "Cesky Krumlov" "cesky_krumlov"
"11" "DC" "Decin" "decin"
"12" "DO" "Domazlice" "domazlice"
"13" "FM" "Frydek-Mistek" "frydek_mistek"
"14" "HB" "Havlickuv Brod" "havlickuv_brod"
"15" "HO" "Hodonin" "hodonin"
"16" "HK" "Hradec Kralove" "hradec_kralove"
"17" "CH" "Cheb" "cheb"
"18" "CV" "Chomutov" "chomutov"
"19" "CR" "Chrudim" "chrudim"
"20" "JN" "Jablonec" "jablonec"
"21" "JE" "Jesenik" "jesenik"
"22" "JC" "Jicin" "jicin"
"23" "JI" "Jihlava" "jihlava"
"24" "JH" "Jindrichuv Hradec" "jindrichuv_hradec"
"25" "KV" "Karlovy Vary" "karlovy_vary"
"26" "KI" "Karvina" "karvina"
"27" "KD" "Kladno" "kladno"
"28" "KT" "Klatovy" "klatovy"
"29" "KO" "Kolin" "kolin"
"30" "KM" "Kromeriz" "kromeriz"
"31" "KH" "Kutna Hora" "kutna_hora"
"32" "LI" "Liberec" "liberec"
"33" "LT" "Litomerice" "litomerice"
"34" "LN" "Louny" "louny"
"35" "ME" "Melnik" "melnik"
"36" "MB" "Mlada Boleslav" "mlada_boleslav"
"37" "MO" "Most" "most"
"38" "NA" "Nachod" "nachod"
"39" "NJ" "Novy Jicin" "novy_jicin"
"40" "NB" "Nymburk" "nymburk"
"41" "OC" "Olomouc" "olomouc"
"42" "OP" "Opava" "opava"
"43" "OV" "Ostrava-mesto" "ostrava_mesto"
"44" "PU" "Pardubice" "pardubice"
"45" "PE" "Pelhrimov" "pelhrimov"
"46" "PI" "Pisek" "pisek"
"47" "PJ" "Plzen-jih" "plzen_jih"
"48" "PM" "Plzen-mesto" "plzen_mesto"
"49" "PS" "Plzen-sever" "plzen_sever"
"50" "A" "Praha" "praha"
"51" "PY" "Praha-vychod" "praha_vychod"
"52" "PZ" "Praha-zapad" "praha_zapad"
"53" "PT" "Prachatice" "prachatice"
"54" "PR" "Prerov" "prerov"
"55" "PB" "Pribram" "pribram"
"56" "PV" "Prostejov" "prostejov"
"57" "RA" "Rakovnik" "rakovnik"
"58" "RO" "Rokycany" "rokycany"
"59" "RK" "Rychnov nad Kneznou" "rychnov_nad_kneznou"
"60" "SM" "Semily" "semily"
"61" "SO" "Sokolov" "sokolov"
"62" "ST" "Strakonice" "strakonice"
"63" "SU" "Sumperk" "sumperk"
"64" "SY" "Svitavy" "svitavy"
"65" "TA" "Tabor" "tabor"
"66" "TC" "Tachov" "tachov"
"67" "TP" "Teplice" "teplice"
"68" "TR" "Trebic" "trebic"
"69" "TU" "Trutnov" "trutnov"
"70" "UH" "Uherske Hradiste" "uherske_hradiste"
"71" "UL" "Usti nad Labem" "usti_nad_labem"
"72" "UO" "Usti nad Orlici" "usti_nad_orlici"
"73" "VS" "Vsetin" "vsetin"
"74" "VY" "Vyskov" "vyskov"
"75" "ZR" "Zdar nad Sazavou" "zdar_nad_sazavou"
"76" "ZL" "Zlin" "zlin"
"77" "ZN" "Znojmo" "znojmo"
