"state" "abb" "region"
"1" "Alabama" "AL" "South"
"2" "Alaska" "AK" "West"
"3" "Arizona" "AZ" "West"
"4" "Arkansas" "AR" "South"
"5" "California" "CA" "West"
"6" "Colorado" "CO" "West"
"7" "Connecticut" "CT" "Northeast"
"8" "Delaware" "DE" "South"
"9" "District of Columbia" "DC" "South"
"10" "Florida" "FL" "South"
"11" "Georgia" "GA" "South"
"12" "Hawaii" "HI" "West"
"13" "Idaho" "ID" "West"
"14" "Illinois" "IL" "North Central"
"15" "Indiana" "IN" "North Central"
"16" "Iowa" "IA" "North Central"
"17" "Kansas" "KS" "North Central"
"18" "Kentucky" "KY" "South"
"19" "Louisiana" "LA" "South"
"20" "Maine" "ME" "Northeast"
"21" "Maryland" "MD" "South"
"22" "Massachusetts" "MA" "Northeast"
"23" "Michigan" "MI" "North Central"
"24" "Minnesota" "MN" "North Central"
"25" "Mississippi" "MS" "South"
"26" "Missouri" "MO" "North Central"
"27" "Montana" "MT" "West"
"28" "Nebraska" "NE" "North Central"
"29" "Nevada" "NV" "West"
"30" "New Hampshire" "NH" "Northeast"
"31" "New Jersey" "NJ" "Northeast"
"32" "New Mexico" "NM" "West"
"33" "New York" "NY" "Northeast"
"34" "North Carolina" "NC" "South"
"35" "North Dakota" "ND" "North Central"
"36" "Ohio" "OH" "North Central"
"37" "Oklahoma" "OK" "South"
"38" "Oregon" "OR" "West"
"39" "Pennsylvania" "PA" "Northeast"
"40" "Puerto Rico" "PR" "Puerto Rico"
"41" "Rhode Island" "RI" "Northeast"
"42" "South Carolina" "SC" "South"
"43" "South Dakota" "SD" "North Central"
"44" "Tennessee" "TN" "South"
"45" "Texas" "TX" "South"
"46" "Utah" "UT" "West"
"47" "Vermont" "VT" "Northeast"
"48" "Virginia" "VA" "South"
"49" "Washington" "WA" "West"
"50" "West Virginia" "WV" "South"
"51" "Wisconsin" "WI" "North Central"
"52" "Wyoming" "WY" "West"
